ID	author	claim	label
0	Joe Biden	"Sanders’ “Medicare for All” plan ""would cost more than the entire federal budget that we spend now."""	false
1	Hillary Clinton	"McCain ""still thinks it's okay when women don't earn equal pay for equal work."""	false
2	Facebook posts	Says a video shows Iranian rockets being launched toward a U.S. air base in Iraq.	false
3	Tom Barrett	"""No one on my staff has ever been charged with a crime."""	false
4	City of Atlanta	"Tyler Perry’s plan to turn a majority of the former Fort McPherson into a film and television studio is expected ""to add over 8,000 new jobs to Atlanta."""	half-true
5	Focus on the Family Action	"""Among his (Obama's) pet projects is a bill ... which would commit the U.S. to spending 0.7 percent of gross national product on foreign aid."""	false
6	Pricey Harrison	"""The US has approximately 5% of the world's population and 42% of civilian gun ownership."""	mostly-true
7	Dennis Kucinich	"""About 57 percent of registered Democrats in the new (9th Congressional) district come from my old district."""	mostly-true
8	Donald Trump	"Says he saw videotape ""of the people taking the money off the plane"" to pay ransom to Iran for hostages."	false
9	Bernie Sanders	"""In 1952, the corporate income tax accounted for 33 percent of all federal tax revenue. Today, despite record-breaking profits, corporate taxes bring in less than 9 percent."""	mostly-true
10	Dan Patrick	"""Like every budget passed by the Senate since I have been lieutenant governor, Senate Bill 1 is within the spending limit set by the Texas Constitution."""	true
11	Donald Trump	"""In the ‘old days’ if you were president and you had a good economy, you were basically immune from criticism."""	pants-fire
12	Andy Gardiner	"A proposed revenue smart cap ""gives Floridians a voice, requiring a 60 percent vote by citizens in order to impose a new tax, fee, license, fine, charge or assessment."""	false
13	Donald Trump	"Says the GOP plan he supports is ""the biggest tax cut in U.S. history."""	false
14	Gwen Moore	"Since the federal Violence Against Women Act was adopted in 1994, ""cases of domestic violence have fallen by 67 percent."""	mostly-true
15	Scott Walker	"Even after collective bargaining reforms, most Wisconsin public employees ""are still paying about 12 to 13 percent"" of their health insurance premiums, while most state residents who work in the private sector ""pay 20 to 25 percent."""	mostly-true
16	Beto O'Rourke	"""There are 390 million guns out on the streets of a country of 329 million people."""	true
17	Facebook posts	"Says people can send Christmas cards to ""a recovering American soldier"" at the Walter Reed Army Medical Center in Washington, D.C."	false
